,date,time,open,high,low,close
8960,21-12-02,18:58:40,113.119,113.119,113.116,113.116
8961,21-12-02,18:58:45,113.116,113.121,113.116,113.12
8962,21-12-02,18:58:50,113.12,113.122,113.119,113.119
8963,21-12-02,18:58:55,113.119,113.122,113.118,113.12
8964,21-12-02,18:59:00,113.12,113.121,113.116,113.116
8965,21-12-02,18:59:05,113.116,113.118,113.114,113.114
8966,21-12-02,18:59:10,113.114,113.122,113.114,113.122
8967,21-12-02,18:59:15,113.122,113.122,113.121,113.121
8968,21-12-02,18:59:20,113.121,113.121,113.119,113.119
8969,21-12-02,18:59:25,113.119,113.124,113.119,113.124
8970,21-12-02,18:59:30,113.124,113.125,113.124,113.125
8971,21-12-02,18:59:35,113.125,113.14,113.125,113.14
8972,21-12-02,18:59:40,113.14,113.14,113.137,113.137
8973,21-12-02,18:59:45,113.137,113.137,113.136,113.136
8974,21-12-02,18:59:50,113.136,113.136,113.13,113.131
8975,21-12-02,18:59:55,113.131,113.132,113.131,113.131
8976,21-12-02,19:00:00,113.131,113.132,113.13,113.132
8977,21-12-02,19:00:05,113.132,113.132,113.128,113.128
8978,21-12-02,19:00:10,113.128,113.13,113.128,113.13
8979,21-12-02,19:00:15,113.13,113.136,113.13,113.136
8980,21-12-02,19:00:20,113.136,113.136,113.132,113.132
8981,21-12-02,19:00:25,113.132,113.137,113.132,113.137
8982,21-12-02,19:00:30,113.137,113.137,113.136,113.136
8983,21-12-02,19:00:35,113.136,113.138,113.134,113.134
8984,21-12-02,19:00:40,113.134,113.134,113.129,113.13
8985,21-12-02,19:00:45,113.13,113.134,113.13,113.132
8986,21-12-02,19:00:50,113.132,113.132,113.125,113.126
8987,21-12-02,19:00:55,113.126,113.126,113.124,113.125
8988,21-12-02,19:01:00,113.125,113.125,113.124,113.124
8989,21-12-02,19:01:05,113.124,113.124,113.122,113.124
8990,21-12-02,19:01:10,113.124,113.13,113.124,113.13
8991,21-12-02,19:01:15,113.13,113.13,113.124,113.126
8992,21-12-02,19:01:20,113.126,113.131,113.126,113.13
8993,21-12-02,19:01:25,113.13,113.131,113.13,113.131
8994,21-12-02,19:01:30,113.131,113.134,113.131,113.134
8995,21-12-02,19:01:35,113.134,113.137,113.134,113.134
8996,21-12-02,19:01:40,113.134,113.134,113.134,113.134
8997,21-12-02,19:01:45,113.134,113.134,113.134,113.134
8998,21-12-02,19:01:50,113.134,113.134,113.13,113.13
8999,21-12-02,19:01:55,113.13,113.132,113.13,113.132
9000,21-12-02,19:02:00,113.132,113.135,113.132,113.135
9001,21-12-02,19:02:05,113.135,113.135,113.132,113.134
9002,21-12-02,19:02:10,113.134,113.134,113.133,113.133
9003,21-12-02,19:02:15,113.133,113.136,113.133,113.136
9004,21-12-02,19:02:20,113.136,113.136,113.136,113.136
9005,21-12-02,19:02:25,113.136,113.146,113.134,113.146
9006,21-12-02,19:02:30,113.146,113.146,113.144,113.144
9007,21-12-02,19:02:35,113.144,113.144,113.143,113.143
9008,21-12-02,19:02:40,113.143,113.144,113.143,113.143
9009,21-12-02,19:02:45,113.143,113.148,113.142,113.144
9010,21-12-02,19:02:50,113.144,113.146,113.142,113.146
9011,21-12-02,19:02:55,113.146,113.146,113.144,113.144
9012,21-12-02,19:03:00,113.144,113.146,113.144,113.146
9013,21-12-02,19:03:05,113.146,113.148,113.144,113.146
9014,21-12-02,19:03:10,113.146,113.148,113.146,113.148
9015,21-12-02,19:03:15,113.148,113.148,113.142,113.143
9016,21-12-02,19:03:20,113.143,113.143,113.14,113.14
9017,21-12-02,19:03:25,113.14,113.144,113.14,113.144
9018,21-12-02,19:03:30,113.144,113.146,113.144,113.144
9019,21-12-02,19:03:35,113.144,113.146,113.144,113.144
9020,21-12-02,19:03:40,113.144,113.146,113.143,113.143
9021,21-12-02,19:03:45,113.143,113.143,113.138,113.138
9022,21-12-02,19:03:50,113.138,113.14,113.138,113.14
9023,21-12-02,19:03:55,113.14,113.14,113.138,113.14
9024,21-12-02,19:04:00,113.14,113.144,113.14,113.143
9025,21-12-02,19:04:05,113.143,113.143,113.142,113.142
9026,21-12-02,19:04:10,113.142,113.143,113.142,113.143
9027,21-12-02,19:04:15,113.143,113.146,113.143,113.146
9028,21-12-02,19:04:20,113.146,113.146,113.144,113.144
9029,21-12-02,19:04:25,113.144,113.146,113.144,113.146
9030,21-12-02,19:04:30,113.146,113.146,113.144,113.144
9031,21-12-02,19:04:35,113.144,113.146,113.142,113.142
9032,21-12-02,19:04:40,113.142,113.148,113.142,113.148
9033,21-12-02,19:04:45,113.148,113.156,113.148,113.156
9034,21-12-02,19:04:50,113.156,113.156,113.154,113.155
9035,21-12-02,19:04:55,113.155,113.155,113.152,113.152
9036,21-12-02,19:05:00,113.152,113.16,113.15,113.159
9037,21-12-02,19:05:05,113.159,113.159,113.155,113.155
9038,21-12-02,19:05:10,113.155,113.155,113.152,113.152
9039,21-12-02,19:05:15,113.152,113.154,113.152,113.152
9040,21-12-02,19:05:20,113.152,113.152,113.152,113.152
9041,21-12-02,19:05:25,113.152,113.152,113.15,113.15
9042,21-12-02,19:05:30,113.15,113.152,113.15,113.152
9043,21-12-02,19:05:35,113.152,113.152,113.15,113.15
9044,21-12-02,19:05:40,113.15,113.15,113.149,113.15
9045,21-12-02,19:05:45,113.15,113.15,113.146,113.148
9046,21-12-02,19:05:50,113.148,113.149,113.147,113.149
9047,21-12-02,19:05:55,113.149,113.149,113.148,113.149
9048,21-12-02,19:06:00,113.149,113.154,113.149,113.15
9049,21-12-02,19:06:05,113.15,113.152,113.15,113.15
9050,21-12-02,19:06:10,113.15,113.152,113.149,113.149
9051,21-12-02,19:06:15,113.149,113.15,113.149,113.149
9052,21-12-02,19:06:20,113.149,113.15,113.149,113.15
9053,21-12-02,19:06:25,113.15,113.15,113.149,113.15
9054,21-12-02,19:06:30,113.15,113.152,113.149,113.15
9055,21-12-02,19:06:35,113.15,113.15,113.147,113.147
9056,21-12-02,19:06:40,113.147,113.148,113.147,113.148
9057,21-12-02,19:06:45,113.148,113.148,113.143,113.143
9058,21-12-02,19:06:50,113.143,113.144,113.134,113.134
9059,21-12-02,19:06:55,113.134,113.138,113.134,113.138
9060,21-12-02,19:07:00,113.138,113.14,113.138,113.14
9061,21-12-02,19:07:05,113.14,113.142,113.138,113.138
9062,21-12-02,19:07:10,113.138,113.141,113.138,113.141
9063,21-12-02,19:07:15,113.141,113.142,113.139,113.14
9064,21-12-02,19:07:20,113.14,113.144,113.139,113.144
9065,21-12-02,19:07:25,113.144,113.148,113.144,113.148
9066,21-12-02,19:07:30,113.148,113.15,113.148,113.148
9067,21-12-02,19:07:35,113.148,113.15,113.148,113.148
9068,21-12-02,19:07:40,113.148,113.149,113.148,113.148
9069,21-12-02,19:07:45,113.148,113.149,113.148,113.149
9070,21-12-02,19:07:50,113.149,113.149,113.144,113.144
9071,21-12-02,19:07:55,113.144,113.144,113.143,113.143
9072,21-12-02,19:08:00,113.143,113.144,113.143,113.143
9073,21-12-02,19:08:05,113.143,113.143,113.142,113.142
9074,21-12-02,19:08:10,113.142,113.143,113.142,113.143
9075,21-12-02,19:08:15,113.143,113.144,113.143,113.144
9076,21-12-02,19:08:20,113.144,113.149,113.144,113.146
9077,21-12-02,19:08:25,113.146,113.15,113.146,113.148
9078,21-12-02,19:08:30,113.148,113.15,113.148,113.149
9079,21-12-02,19:08:35,113.149,113.156,113.149,113.152
9080,21-12-02,19:08:40,113.152,113.152,113.15,113.152
9081,21-12-02,19:08:45,113.152,113.152,113.149,113.149
